item_id,Category_1,Category_2,Category_3
f6fc4e73-8b46-4cbe-9d7f-34a13e92e811,Khoa học,Công nghệ,
e3c88311-9ef5-4a48-8d85-af82f78ca1a8,Công nghệ,Khoa học,
49681079-10bf-4401-85a6-1797b439e68a,Chiêm tinh,,
359bd37a-bda9-47a7-8698-c58ee34166a5,Đời sống,Nhân quyền,Từ thiện
d5e6409c-2739-4bf8-9f16-d185fae91462,Đời sống,Truyền thống,Văn hóa
0e7fef56-5316-4000-9ffc-dcc03ba51c7e,Khoa học,Toán học,Giáo dục
1d7515c1-faa5-4994-91bb-1c378a8f4e41,Khoa học,Công nghệ,Kỹ thuật
f43075ac-cff0-43af-a7a9-aa2913e4e4a7,Công nghệ,Giáo dục,
86c13e8a-805c-4589-82a2-7f58791b4b0c,Công nghệ,Khoa học,Từ thiện
fce1a276-1f1a-48f3-b69d-801870f4c798,Khoa học,Công nghệ,Từ thiện
