item_id,Category_1,Category_2,Category_3
7d2120c5-6272-40f8-b890-9d420317823d,Triết học,Giáo dục,Văn học
30135076-d59a-43b3-858e-a34f40a6430d,Khoa học,Công nghệ,Kinh tế
8aab5d0a-da07-47e3-bb4d-8f8d079b4d25,Khoa học,Truyền thống,Âm nhạc
ed8e3b31-7b3b-47ce-af89-5afa65de01a0,Môi trường,Lịch sử,Đời sống
67427c1f-94a9-4e4e-8754-df8de12047e8,Môi trường,Văn hóa,Đời sống
3fef48d3-455b-4936-925b-7b104cd642ca,Môi trường,Văn hóa,Đời sống
bc6ec031-63a1-4bbd-afea-72dc6ffe1ce2,Công nghệ,Giáo dục,Đời sống
0616ca63-b056-43db-a905-023cee908ec9,Nhiếp ảnh,Kỹ năng mềm,
dd50715f-7d37-4c15-945f-5e7204d2cb44,Từ thiện,Văn hóa,Đời sống
e25e7184-a236-4dc2-8497-b68ec5ac464a,cate3,cate13,Technology3
